variables_sharding_config_fsdp_config_use_orig_params,inference_metrics_inference_performance_throughput_queries_per_sec,global_energy_metrics_local_process_results_cpu_energy_process_0,inference_metrics_inference_performance_throughput_tokens_per_sec,global_energy_metrics_local_process_results_cpu_power_process_3,inference_metrics_raw_inference_metrics_total_input_tokens,global_energy_metrics_local_process_results_gpu_power_process_2,variables_query_rate,global_energy_metrics_global_experiment_results_ram_energy_total,global_energy_metrics_local_process_results_ram_power_process_0,variables_batching_options_adaptive_max_tokens,variables_latency_simulation_burst_size,variables_batching_options_batch_size___fixed_batching,variables_decoder_config_decoding_mode,global_energy_metrics_local_process_results_cpu_energy_process_2,global_energy_metrics_local_process_results_gpu_energy_process_0,global_energy_metrics_per-process_emissions_3,variables_quantisation_load_in_4bit,compute_metrics_memory_gpu_current_memory_reserved_bytes,variables_quantisation_quantization,global_energy_metrics_local_process_results_total_energy_kwh_process_1,global_energy_metrics_local_process_results_cpu_power_process_0,global_energy_metrics_local_process_results_gpu_power_process_0,compute_metrics_compute_utilisation_gpu_utilization_percent_2,global_energy_metrics_local_process_results_total_energy_kwh_process_2,compute_metrics_compute_utilisation_cpu_usage_percent,variables_backend,global_energy_metrics_local_process_results_cpu_power_process_1,variables_quantisation_cached_flops_for_quantised_models,variables_latency_simulation_simulate,global_energy_metrics_experiment_id,setup_gpu_model,inference_metrics_raw_inference_metrics_number_input_prompts,model_architecture_architecture,setup_experiment_id,global_energy_metrics_local_process_results_total_energy_joules_process_0,global_energy_metrics_per-process_emissions_1,setup_task_type,setup_region,variables_max_output_tokens,global_energy_metrics_local_process_results_cpu_power_process_2,setup_python_version,variables_sharding_config_sharding_strategy,global_energy_metrics_per-process_emissions_0,global_energy_metrics_global_experiment_results_ram_power_avg,setup_available_gpu_count,variables_decoder_config_decoder_top_k,global_energy_metrics_global_derived_quantities_flops_per_joule,global_energy_metrics_local_process_results_ram_power_process_1,global_energy_metrics_local_process_results_ram_energy_process_3,variables_latency_simulation_simulate_burst,global_energy_metrics_local_process_results_gpu_energy_process_2,global_energy_metrics_local_process_results_total_energy_joules_process_3,global_energy_metrics_local_process_results_gpu_energy_process_1,compute_metrics_compute_utilisation_gpu_utilization_percent_3,variables_decode_token_to_text,variables_decoder_config_decoder_temperature,global_energy_metrics_local_process_results_gpu_power_process_3,variables_sharding_config_fsdp_config_cpu_offload,setup_os,global_energy_metrics_local_process_results_ram_power_process_3,compute_metrics_memory_gpu_max_memory_reserved_bytes,variables_fp_precision,setup_is_encoder_decoder,global_energy_metrics_local_process_results_ram_energy_process_1,variables_batching_options_adaptive_batching,variables_batching_options_max_batch_size___adaptive_batching,compute_metrics_memory_gpu_current_memory_allocated_bytes,inference_metrics_inference_performance_total_inference_time_sec,model_architecture_total_params,global_energy_metrics_global_experiment_results_total_energy_kwh,global_energy_metrics_local_process_results_total_energy_kwh_process_0,global_energy_metrics_local_process_results_ram_power_process_2,variables_accelerate_config_num_processes,variables_quantisation_load_in_8bit,global_energy_metrics_local_process_results_gpu_energy_process_3,global_energy_metrics_local_process_results_total_energy_joules_process_2,global_energy_metrics_local_process_results_cpu_energy_process_1,setup_date_time,inference_metrics_inference_performance_average_latency_ms_per_batch,global_energy_metrics_local_process_results_total_energy_kwh_process_3,variables_number_input_prompts,global_energy_metrics_global_experiment_results_gpu_energy_total,variables_latency_simulation_delay_max,variables_latency_simulation_burst_interval,global_energy_metrics_local_process_results_cpu_energy_process_3,global_energy_metrics_local_process_results_ram_energy_process_0,variables_accelerate_config_distributed_type,compute_metrics_compute_utilisation_gpu_utilization_percent_1,global_energy_metrics_global_derived_quantities_tokens_per_joule,compute_metrics_compute_utilisation_gpu_utilization_percent_0,global_energy_metrics_per-process_emissions_2,setup_country,compute_metrics_memory_gpu_max_memory_allocated_bytes,global_energy_metrics_global_experiment_results_cpu_power_avg,global_energy_metrics_global_experiment_results_gpu_power_avg,global_energy_metrics_local_process_results_total_energy_joules_process_1,setup_model,global_energy_metrics_global_derived_quantities_joules_per_flop,global_energy_metrics_local_process_results_gpu_power_process_1,variables_max_input_tokens,variables_latency_simulation_delay_min,compute_metrics_flops,variables_inference_type,compute_metrics_compute_utilisation_cpu_memory_usage_bytes,global_energy_metrics_local_process_results_ram_energy_process_2,inference_metrics_raw_inference_metrics_total_generated_tokens,global_energy_metrics_global_experiment_results_total_energy_joules,variables_decoder_config_decoder_top_p,global_energy_metrics_global_experiment_results_cpu_energy_total,setup_available_cpu_count,variables_config_name,setup_cpu_model,global_energy_metrics_global_derived_quantities_joules_per_token
False,5.365593355962074,0.0007395705693106,686.7959495631454,112.5,16384,814.8381325496945,1.0,1.8407763826262736e-05,0.6955118179321289,0,0,16,greedy,0.0007403448546901,0.0052506853116547,0.0032845487748282,,9418309632,,0.0086219944213892,112.5,825.7662135157593,100.0,0.0059953604820983,4.7,pytorch,112.5,16949970993152,False,46,4 x NVIDIA A100-PCIE-40GB,128,Unknown (no config attribute),46,21578.55188029112,0.0032670355084298,text_generation,saxony,128,112.5,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",NO_SHARD,0.002283430371888,0.6440030336380005,4,,161313519.76166314,0.6272978782653809,5.565156176083427e-06,False,0.005251621145736,30873.67851515319,0.0074515242945443,100.0,True,1.2,598.8723069136086,False,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,0.631321907043457,9418309632,torch.float32,False,5.661817973713191e-06,False,0,8818209280,23.85570271697361,1100048384,0.0291874189022221,0.0059940421889697,0.6218805313110352,4,,0.0074173334338656,21583.297735554195,0.0011648083088712,"April 17, 2025 at 02:35:34 AM",2981.9628396217013,0.0085760218097647,128,0.0253711641858007,0.0,0.0,0.001153123219723,3.786308004345774e-06,DistributedType.MULTI_GPU,100.0,0.1559271522554745,0.0,0.0022839325756553,Germany,8818209280,112.5,682.8906677454199,31039.179917001296,TinyLlama/TinyLlama-1.1B-Chat-v1.0,6.199108428589718e-09,492.0860180026175,128,0.0,16949970993152,pure_generative,1996271616,3.394481672120344e-06,16384,105074.7080479998,,0.0037978469525951,128,decoding_greedy_temp_1.2,AMD EPYC 7742 64-Core Processor,6.4132512236328
False,5.426366665116145,0.000729088068123,694.5749331348666,112.5,16384,798.591268975796,1.0,1.9074711556318266e-05,0.69927978515625,0,0,16,top_p,0.0007394839356566,0.0052273150151815,0.0022978394471278,,9418309632,,0.0090031464648034,112.5,873.472773276563,100.0,0.0060318662478747,4.7,pytorch,112.5,16949970993152,False,47,4 x NVIDIA A100-PCIE-40GB,128,Unknown (no config attribute),47,21456.75938478317,0.0032297674743164,text_generation,saxony,128,112.5,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",NO_SHARD,0.0022705423576758,0.6599854230880737,4,,159748202.72182214,0.6429219245910645,5.616418496678335e-06,False,0.0052888303421747,30521.49339162444,0.0077751703867994,100.0,True,1.0,586.7969290793583,False,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,0.6495523452758789,9418309632,torch.float32,False,6.098466103313208e-06,False,0,8818209280,23.588527628045995,1100048384,0.0294734162616803,0.0059602109402175,0.6481876373291016,4,,0.0073405733724554,21714.718492349097,0.0012218776119007,"April 17, 2025 at 02:36:47 AM",2948.5659535057493,0.0084781926087845,128,0.0256318891166111,0.0,0.0,0.0011320028178324,3.807856912938661e-06,DistributedType.MULTI_GPU,100.0,0.1544141022100723,0.0,0.0034297486457668,Germany,8818209280,112.5,699.48412370808,32411.327273292405,TinyLlama/TinyLlama-1.1B-Chat-v1.0,6.259851334548984e-09,539.0755235006028,128,0.0,16949970993152,pure_generative,2006716416,3.5519700433880613e-06,16384,106104.29854204912,0.7,0.0038224524335128,128,decoding_top_p_topp_0.7_temp_1.0,AMD EPYC 7742 64-Core Processor,6.476092440310615
False,5.286816341771349,0.0007473579312809,676.7124917467327,112.5,16384,846.1128033159401,1.0,1.8493795458442222e-05,0.6980609893798828,0,0,16,top_p,0.0007461862038471,0.0052949097914805,0.0031939714671373,,9418309632,,0.0083842275026573,112.5,705.3758939888799,100.0,0.0060488362077579,4.7,pytorch,112.5,16949970993152,False,48,4 x NVIDIA A100-PCIE-40GB,128,Unknown (no config attribute),48,21765.891384033188,0.0031670132091369,text_generation,saxony,128,112.5,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",NO_SHARD,0.0023043041533454,0.6591017246246338,4,,163525497.81387722,0.6482877731323242,5.552992220916621e-06,False,0.0052991631282157,29928.46187923112,0.0072528896912,100.0,True,0.4,917.729705012936,False,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,0.6500430107116699,9418309632,torch.float32,False,5.640710294693562e-06,False,0,8818209280,24.21116825804347,1100048384,0.0287926062835443,0.0060460809400092,0.6400151252746582,4,,0.0071935157548077,21775.810347928767,0.0011256971011625,"April 17, 2025 at 02:37:57 AM",3026.396032255434,0.0083134616331197,128,0.0250404783657041,0.0,0.0,0.001114392886091,3.8132172477821767e-06,DistributedType.MULTI_GPU,100.0,0.1580652708647699,11.0,0.0023032545340965,Germany,8818209280,112.5,771.1906174200982,30183.219009566503,TinyLlama/TinyLlama-1.1B-Chat-v1.0,6.115254277581763e-09,615.5440673626367,128,0.0,16949970993152,pure_generative,2004672512,3.4868756950498623e-06,16384,103653.38262075956,0.8,0.0037336341223817,128,decoding_top_p_topp_0.8_temp_0.4,AMD EPYC 7742 64-Core Processor,6.326500404099095
False,12.516797198360772,0.0003185605958406,1602.1500413901788,112.5,16384,1028.4157998151736,1.0,8.820088647192919e-06,0.6960611343383789,0,0,64,,0.0003162926918721,0.0027724116623701,0.0016594664860843,,10513022976,,0.0048281191906781,112.5,1033.2148821856483,100.0,0.0030863117963237,4.8,pytorch,112.5,16949970993152,False,49,4 x NVIDIA A100-PCIE-40GB,128,Unknown (no config attribute),49,11133.640351720236,0.0018392720056888,text_generation,saxony,128,112.5,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",NO_SHARD,0.0011757304788095,0.6487466096878052,4,,306467035.5970081,0.6449775695800781,2.55085491404274e-06,False,0.0027685130481396,15682.05630634934,0.0042309972736829,100.0,True,1.0,587.3678824734434,False,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,0.6259260177612305,10513022976,torch.float32,False,3.057560154175974e-06,False,0,8818209280,10.226258201000746,1100048384,0.0153632356142434,0.0030926778754778,0.6280217170715332,4,,0.0038411886285025,11110.722466765355,0.000594064356841,"April 17, 2025 at 02:38:50 AM",5113.129100500373,0.0043561267517637,128,0.0136131106126953,0.0,0.0,0.000512387268347,1.7056172670459097e-06,DistributedType.MULTI_GPU,100.0,0.2962338940432399,0.0,0.0011781556366632,Germany,8818209280,112.5,820.4018513135022,17381.229086441323,TinyLlama/TinyLlama-1.1B-Chat-v1.0,3.2629936790818837e-09,632.6088407797432,128,0.0,16949970993152,pure_generative,1998606336,1.506056311928295e-06,16384,55307.64821127625,,0.0017413049129008,128,batching_64,AMD EPYC 7742 64-Core Processor,3.375710950395279
False,5.127092326929767,0.0008085404979356,656.2678178470102,112.5,16384,796.183546447138,1.0,1.9500878606139065e-05,0.6977219581604004,0,20,16,,0.0007681551155619,0.0054382896284073,0.0033987496366026,,9418309632,,0.0089217735571666,112.5,0.0,100.0,0.0061730487204958,5.6,pytorch,112.5,16949970993152,True,50,4 x NVIDIA A100-PCIE-40GB,128,Unknown (no config attribute),50,22503.728426303584,0.0032838546243482,text_generation,saxony,128,112.5,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",NO_SHARD,0.00238133204,0.6478335857391357,4,,157122089.30708313,0.637657642364502,5.663666199196702e-06,True,0.005401283487691,31032.620153967284,0.0076869428162176,100.0,True,1.0,543.8520258608343,False,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,0.6297726631164551,9418309632,torch.float32,False,6.0215475338773095e-06,False,0,8818209280,24.96541740192333,1100048384,0.0299660302166265,0.0062510356739732,0.6261820793151855,4,,0.0074474862357636,22222.97539378496,0.0012288091934151,"April 17, 2025 at 02:40:04 AM",3120.6771752404165,0.0086201722649909,128,0.0259740021680796,0.2,4.0,0.001167022363028,4.205547630298948e-06,DistributedType.MULTI_GPU,100.0,0.1518756764980479,11.0,0.0023516229100728,Germany,8818209280,112.5,448.5371236233001,32118.38480579993,TinyLlama/TinyLlama-1.1B-Chat-v1.0,6.3644774863296045e-09,454.112922185228,128,0.1,16949970993152,pure_generative,2000941056,3.610117242766103e-06,16384,107877.70877985576,,0.0039725271699408,128,latency_burst_0.1_0.2_4.0_20,AMD EPYC 7742 64-Core Processor,6.584332811270493
False,5.377969871530661,0.0007372727375714,688.3801435559246,112.5,16384,649.8907823283083,1.0,1.8815914746390954e-05,0.6984729766845703,0,0,16,top_k,0.0007515500120625,0.0052404886368346,0.0033551206930145,,9418309632,,0.008807246864456,112.5,841.4050106618092,100.0,0.0060832095566813,4.8,pytorch,112.5,16949970993152,False,51,4 x NVIDIA A100-PCIE-40GB,128,Unknown (no config attribute),51,21533.720016957093,0.0022786862890166,text_generation,saxony,128,112.5,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",NO_SHARD,0.0023173986806177,0.6566494703292847,4,500.0,161276476.4514908,0.6441607475280762,5.49416867333277e-06,False,0.0053281378736178,29959.47933980097,0.0076060730293017,100.0,True,1.4,659.6864008164538,False,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,0.6421008110046387,9418309632,torch.float32,False,5.9725558790289e-06,False,0,8818209280,23.800802729965653,1100048384,0.0291941229091258,0.0059815888935991,0.6418633460998535,4,,0.0072058793758094,21899.554404052888,0.0011952012792753,"April 17, 2025 at 02:41:15 AM",2975.1003412457067,0.0083220775943891,128,0.0253805789155636,0.0,0.0,0.0011107040499064,3.827519193106957e-06,DistributedType.MULTI_GPU,100.0,0.1558913458464778,2.0,0.0031702954595825,Germany,8818209280,112.5,678.290811777213,31706.088712041957,TinyLlama/TinyLlama-1.1B-Chat-v1.0,6.200532290899739e-09,562.1810533022802,128,0.0,16949970993152,pure_generative,2006859776,3.52167100092233e-06,16384,105098.84247285288,,0.0037947280788157,128,decoding_top_k_topk_500_temp_1.4,AMD EPYC 7742 64-Core Processor,6.414724272024713
False,4.665672117000221,0.0008485931956292,597.2060309760283,112.5,16384,777.4482477869533,1.0,2.099661834937056e-05,0.6968507766723633,0,0,16,,0.0008409437717491,0.0057545762703279,0.0025023909932911,,9418309632,,0.0093638923654534,112.5,752.8610167329799,100.0,0.0065688174124981,4.7,pytorch,112.5,16949970993152,True,52,4 x NVIDIA A100-PCIE-40GB,128,Unknown (no config attribute),52,23787.363383139564,0.0034654193005411,text_generation,saxony,128,112.5,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",NO_SHARD,0.0035671747966195,0.6486911773681641,4,,148822941.49703917,0.6205844879150391,6.246082825880223e-06,False,0.0057238584679755,32748.41706772008,0.0080490122725427,100.0,True,1.0,616.5767203242821,False,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,0.6442351341247559,9418309632,torch.float32,False,6.303888946210109e-06,False,0,8818209280,27.43441819102736,1100048384,0.0316370932365238,0.0066076009397609,0.633094310760498,4,,0.0078386907153955,23647.742684993493,0.0013085762039645,"April 17, 2025 at 02:42:31 AM",3429.30227387842,0.0090967825188111,128,0.0273661377262417,0.5,0.0,0.0012518457205896,4.4314738037596935e-06,DistributedType.MULTI_GPU,100.0,0.143853642845324,7.0,0.0025171655780019,Germany,8818209280,112.5,651.2121685740527,33710.01251563257,TinyLlama/TinyLlama-1.1B-Chat-v1.0,6.7193941333292025e-09,457.9626894519958,128,0.4,16949970993152,pure_generative,1998864384,4.015172773520532e-06,16384,113893.5356514857,,0.0042499588919326,128,latency_const_0.4_0.5,AMD EPYC 7742 64-Core Processor,6.951509744353375
False,5.275812433925644,0.0007499902632825,675.3039915424824,112.5,16384,833.9726971671112,1.0,1.891281566075372e-05,0.699887752532959,0,0,16,top_p,0.0007521179488776,0.0053211239791215,0.0033344188463048,,9418309632,,0.0087529041772014,112.5,856.3538841675671,100.0,0.0060824962520816,4.7,pytorch,112.5,16949970993152,False,56,4 x NVIDIA A100-PCIE-40GB,128,Unknown (no config attribute),56,21869.86122119696,0.0023142565645041,text_generation,saxony,128,112.5,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",NO_SHARD,0.0023171269472304,0.6596750020980835,4,,160881531.83588454,0.6406631469726562,5.5491693395218485e-06,False,0.0053267970392161,30079.54459634106,0.0075531107647028,100.0,True,0.2,660.6836610211011,False,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,0.6472020149230957,9418309632,torch.float32,False,5.935174405013569e-06,False,0,8818209280,24.26166616100818,1100048384,0.0292657909341547,0.0060749614503324,0.650947093963623,4,,0.0072288185608249,21896.98650749389,0.0011938582380935,"April 17, 2025 at 03:15:55 AM",3032.7082701260224,0.0083554290545391,128,0.0254298503438654,0.0,0.0,0.0011210613243747,3.84720792834568e-06,DistributedType.MULTI_GPU,100.0,0.1555095886986509,10.0,0.0031830006983267,Germany,8818209280,112.5,715.5079280944763,31510.45503792513,TinyLlama/TinyLlama-1.1B-Chat-v1.0,6.2157538443884375e-09,511.0214700221252,128,0.0,16949970993152,pure_generative,2008948736,3.581263987872618e-06,16384,105356.84736295704,0.9,0.0038170277746285,128,decoding_top_p_topp_0.9_temp_0.2,AMD EPYC 7742 64-Core Processor,6.430471640805483
False,4.824800128530023,0.0008191326182841,617.5744164518429,112.5,16384,816.0946235178455,1.0,1.973690179585056e-05,0.7020864486694336,0,5,16,,0.0008238685144388,0.0055868658583788,0.0024510082292457,,9418309632,,0.0088206153624041,112.5,885.229580973366,100.0,0.006433936813875,4.8,pytorch,112.5,16949970993152,True,57,4 x NVIDIA A100-PCIE-40GB,128,Unknown (no config attribute),57,23076.938196448053,0.0024419887794269,text_generation,saxony,128,112.5,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",NO_SHARD,0.0032904411291574,0.6477903127670288,4,,155378608.27664793,0.6255784034729004,5.711712618279199e-06,True,0.0056061808738308,31094.86301343196,0.0076015221923224,100.0,True,1.0,614.0238228903697,False,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,0.6287555694580078,9418309632,torch.float32,False,5.875630110653591e-06,False,0,8818209280,26.52959637501044,1100048384,0.0303022747345792,0.0064102606101244,0.6347408294677735,4,,0.0074529312401168,23162.172529950203,0.001213217539971,"April 17, 2025 at 03:17:08 AM",3316.199546876305,0.0086374619481755,128,0.0262475001646489,0.1,2.0,0.0011788189954404,4.262133461464579e-06,DistributedType.MULTI_GPU,100.0,0.1501904114781732,0.0,0.0033602134223078,Germany,8818209280,112.5,685.1342563826224,31754.21530465511,TinyLlama/TinyLlama-1.1B-Chat-v1.0,6.43589237341812e-09,425.1889981489088,128,0.05,16949970993152,pure_generative,2014208000,3.887425605453188e-06,16384,109088.18904448532,,0.0040350376681344,128,latency_burst_0.05_0.1_2.0_5,AMD EPYC 7742 64-Core Processor,6.6582146633597
False,5.304213779811604,0.000744180930189,678.9393638158853,112.5,16384,768.2584016370289,1.0,1.9400282892575787e-05,0.6996216773986816,0,0,16,top_p,0.0007509535608787,0.0052903136766904,0.0023136568374929,,9418309632,,0.0089317826194111,112.5,705.7380440881593,100.0,0.0060733871570886,4.7,pytorch,112.5,16949970993152,False,58,4 x NVIDIA A100-PCIE-40GB,128,Unknown (no config attribute),58,21738.559129156325,0.00230036225007,text_generation,saxony,128,112.5,"3.10.14 (main, Apr  6 2024, 18:45:05) [GCC 9.4.0]",NO_SHARD,0.0034025625888646,0.6638005971908569,4,,159444734.03335327,0.6460247039794923,5.603587188188103e-06,False,0.0053187517549968,30549.07488267932,0.0077069939433682,100.0,True,0.8,617.1143279771768,False,Linux-5.15.0-113-generic-x86_64-with-glibc2.31,0.6431550979614258,9418309632,torch.float32,False,6.120814382940312e-06,False,0,8818209280,24.131757375085726,1100048384,0.0295295125575652,0.0060384886469878,0.6664009094238281,4,,0.0073424089294773,21864.19376551914,0.0012186678616599,"April 17, 2025 at 03:18:21 AM",3016.469671885716,0.0084858541340775,128,0.0256584683045328,0.0,0.0,0.001137841617412,3.994040108420843e-06,DistributedType.MULTI_GPU,100.0,0.1541207665463191,11.0,0.0032326861323768,Germany,8818209280,112.5,623.2500511104873,32154.41742988009,TinyLlama/TinyLlama-1.1B-Chat-v1.0,6.2717656124711916e-09,401.88943073958416,128,0.0,16949970993152,pure_generative,2007851008,3.681841213026527e-06,16384,106306.24520723488,0.8,0.0038516439701397,128,decoding_top_p_topp_0.8_temp_0.8,AMD EPYC 7742 64-Core Processor,6.488418286574395
